Zip,Poverty Rate,Per Capita Income,Household Income,CountyName,Median Age,Index#,Zipcode,Year,City,State,Avg Per Capita Income,PovertyCount,,Population
1001,8.878371443,33135,57694,Hampden County,45.8,74573,1001,2017,Agawam,MA,2.213574721,1557,1,17537
1002,25.92800528,27657,52379,Hampshire County,23.6,74574,1002,2017,Amherst,MA,1.847618411,7851,1,30280
1005,6.122856003,35334,70325,Worcester County,45.4,74575,1005,2017,Barre,MA,2.360478322,307,1,5014
1007,5.735945257,39308,86165,Hampshire County,43.8,74576,1007,2017,Belchertown,MA,2.625960318,855,1,14906
1008,6.996855346,33933,62750,Hampden County,49.9,74577,1008,2017,Blandford,MA,2.266884895,89,1,1272
1010,4.189044039,39077,86523,Hampden County,48.1,74578,1010,2017,Brimfield,MA,2.610528425,156,1,3724
1011,6.768414068,30903,75263,Hampden County,39.9,74579,1011,2017,Chester,MA,2.064466564,102,1,1507
1013,18.02744723,21738,39868,Hampden County,35,74580,1013,2017,Chicopee,MA,1.452201216,4151,1,23026
1020,10.52474459,30076,58780,Hampden County,44.2,74581,1020,2017,Chicopee,MA,2.009219053,3173,1,30148
1022,23.61751152,25748,43349,Hampden County,37.6,74582,1022,2017,Chicopee,MA,1.720088182,615,1,2604
1026,4.697286013,30925,51442,Hampshire County,49.5,74583,1026,2017,Cummington,MA,2.065936268,45,1,958
1027,9.921656407,34386,63699,Hampshire County,44.9,74584,1027,2017,Easthampton,MA,2.297147438,1773,1,17870
1028,4.38227284,38320,85221,Hampden County,45.9,74585,1028,2017,East Longmeadow,MA,2.559957245,708,1,16156
1030,9.428240121,33551,71716,Hampden County,45.1,74586,1030,2017,Agawam,MA,2.241365489,1057,1,11211
1033,5.142857143,40222,89965,Hampshire County,45.8,74587,1033,2017,Granby,MA,2.687019841,324,1,6300
1034,8.04150454,36015,87045,Hampden County,46.9,74588,1034,2017,Tolland,MA,2.405972343,186,1,2313
1035,5.28202226,41575,58953,Hampshire County,47.4,74589,1035,2017,Hadley,MA,2.77740664,280,1,5301
1036,3.96687849,39634,81304,Hampden County,49.4,74590,1036,2017,Hampden,MA,2.64773866,206,1,5193
1038,3.866068347,39453,67096,Hampshire County,51.4,74591,1038,2017,Hatfield,MA,2.635647004,112,1,2897
1040,27.81824488,22625,37954,Hampden County,35.2,74592,1040,2017,Holyoke,MA,1.511457011,11228,1,40362
1050,7.06940874,31233,68869,Hampshire County,43.7,74593,1050,2017,Huntington,MA,2.086512125,165,1,2334
1053,18.63691194,31413,62222,Hampshire County,53.2,74594,1053,2017,Northampton,MA,2.098536976,309,1,1658
1054,6.00901352,46486,87174,Franklin County,50.9,74595,1054,2017,Leverett,MA,3.105484668,120,1,1997
1056,5.602175238,33247,67715,Hampden County,44.4,74596,1056,2017,Ludlow,MA,2.221056851,1195,1,21331
1060,12.47377456,36152,57485,Hampshire County,34.3,74597,1060,2017,Northampton,MA,2.415124591,1962,1,15729
1062,14.02663644,38373,73438,Hampshire County,45.2,74598,1062,2017,Northampton,MA,2.563497896,1485,1,10587
1068,3.785830178,35289,85938,Worcester County,46.7,74599,1068,2017,Oakham,MA,2.357472109,70,1,1849
1071,4.47761194,32683,67132,Hampden County,47.9,74600,1071,2017,Russell,MA,2.183378983,54,1,1206
1072,12.2147651,36574,72000,Franklin County,45.6,74601,1072,2017,Shutesbury,MA,2.443316187,182,1,1490
1073,4.564860427,44641,89423,Hampshire County,46.4,74602,1073,2017,Southampton,MA,2.982229942,278,1,6090
1075,9.022810476,32046,66681,Hampshire County,40.3,74603,1075,2017,South Hadley,MA,2.14082437,1602,1,17755
1077,7.177427659,38002,76737,Hampden County,46.6,74604,1077,2017,Southwick,MA,2.538713341,697,1,9711
1081,5.145046524,26913,50465,Hampden County,43.7,74605,1081,2017,Wales,MA,1.797915692,94,1,1827
1082,13.43423898,27830,51768,Hampshire County,41.8,74606,1082,2017,Ware,MA,1.85917563,1429,1,10637
1083,9.113764928,24012,65547,Worcester County,36.9,74607,1083,2017,Warren,MA,1.604115171,290,1,3182
1085,7.807548257,29630,62423,Hampden County,39.1,74608,1085,2017,Westfield,MA,1.979424143,3252,1,41652
1089,12.0435283,29344,51735,Hampden County,39.2,74609,1089,2017,West Springfield,MA,1.960317991,3453,1,28671
1092,15.18093557,33033,75799,Worcester County,47,74610,1092,2017,Warren,MA,2.206760639,172,1,1133
1095,3.90886145,45406,104128,Hampden County,47.2,74611,1095,2017,Wilbraham,MA,3.03333556,573,1,14659
1096,8.208668968,36844,77083,Hampshire County,44.3,74612,1096,2017,Williamsburg,MA,2.461353464,214,1,2607
1098,7.335581788,43006,76563,Hampshire County,50.4,74613,1098,2017,Worthington,MA,2.873004209,87,1,1186
1104,28.83435583,19687,30053,Hampden County,36,74614,1104,2017,Springfield,MA,1.315184715,6815,1,23635
1105,51.90069822,15259,17569,Hampden County,32.3,74615,1105,2017,Springfield,MA,1.019373372,6021,1,11601
1106,3.589232303,55504,111231,Hampden County,46.2,74616,1106,2017,Longmeadow,MA,3.707929721,576,1,16048
1107,42.32130219,15178,26772,Hampden County,28.8,74617,1107,2017,Springfield,MA,1.013962189,4784,1,11304
1108,30.68971478,18875,38499,Hampden County,31.7,74618,1108,2017,Springfield,MA,1.260939275,8877,1,28925
1109,26.79170124,15703,35191,Hampden County,27.9,74619,1109,2017,Springfield,MA,1.049034672,8071,1,30125
1118,14.51874915,29498,61112,Hampden County,36.8,74620,1118,2017,Springfield,MA,1.970605919,2145,1,14774
1119,15.91870656,22681,47439,Hampden County,34.7,74621,1119,2017,Springfield,MA,1.515198076,2107,1,13236
1128,1.965689778,35083,65977,Hampden County,48.3,74622,1128,2017,Springfield,MA,2.343710335,55,1,2798
1129,10.35555556,30597,63895,Hampden County,42.9,74623,1129,2017,Springfield,MA,2.044024317,699,1,6750
1151,21.79198559,18717,40360,Hampden County,32.7,74624,1151,2017,Springfield,MA,1.250384127,1936,1,8884
1201,14.32719151,30286,47614,Berkshire County,44,74625,1201,2017,Pittsfield,MA,2.023248046,6415,1,44775
1220,11.08269395,28827,49777,Berkshire County,45.8,74626,1220,2017,Adams,MA,1.925779945,910,1,8211
1223,5.997447895,39393,77857,Berkshire County,51.8,74627,1223,2017,Becket,MA,2.63163872,141,1,2351
