City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised,13353.92218,,
Mountain View,1/1/2011,6.12834E+11,Database Software,Hampden County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Agawam,MA,San Francisco Bay Area,1557,1,17537,17.537,,155.7
Mountain View,1/2/2011,6.13065E+11,Online Communities,Hampshire County,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Amherst,MA,San Francisco Bay Area,7851,1,30280,30.28,,785.1
Sacramento,1/3/2011,6.1226E+11,Business Support Services: Other,Worcester County,Business Support Services,"Sacramento--Arden-Arcade--Roseville, CA",Northern California,Product In Beta Test,Barre,MA,,307,1,5014,5.014,,30.7
Kennett Square,1/3/2011,1.10548E+11,IT Consulting,Hampshire County,Business Support Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Belchertown,MA,,855,1,14906,14.906,,85.5
New York,1/3/2011,6.05132E+11,Incubators/Business Development,Hampden County,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Blandford,MA,New York Metro,89,1,1272,1.272,,8.9
Cambridge,1/3/2011,6.11277E+11,Biopharmaceuticals: TBA,Hampden County,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Brimfield,MA,Boston Metro,156,1,3724,3.724,,15.6
Charlotte,1/5/2011,6.11265E+11,Automobiles,Hampden County,Vehicles and Parts,"Charlotte-Gastonia-Concord, NC-SC",South East,Generating Revenue,Chester,MA,,102,1,1507,1.507,,10.2
Brooklyn,1/5/2011,6.15066E+11,General Media/Content,Hampden County,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,Chicopee,MA,New York Metro,4151,1,23026,23.026,,415.1
Highland Heights,1/5/2011,3.56941E+11,Biofuels/Biomass,Hampden County,Renewable Energy,"Cleveland-Elyria-Mentor, OH",Midwest East,Product Development,Chicopee,MA,,3173,1,30148,30.148,,317.3
Marlborough,1/5/2011,98499752679,Biofuels/Biomass,Hampden County,Renewable Energy,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Chicopee,MA,Boston Metro,615,1,2604,2.604,,61.5
Warren,1/5/2011,62881753025,Fiberoptic Equipment,Hampshire County,Communications and Networking,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Cummington,MA,New York Metro,45,1,958,0.958,,4.5
New York,1/7/2011,6.1379E+11,Biotechnology Therapeutics,Hampshire County,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Easthampton,MA,New York Metro,1773,1,17870,17.87,,177.3
